kernel,backend,size,M,N,K,algorithm,runs,mean_best_ms,median_best_ms,std_best_ms,ci95_best_ms,best_observed_ms,mean_gflops,median_gflops,std_gflops,ci95_gflops,best_observed_gflops
matmul,sycl,1024,1024,1024,1024,bayesian,10,2.231807994842529,2.280192017555237,0.29753968697721833,0.18441700860774377,1.829375982284546,978.1660540425189,946.983302217436,133.15677621323692,82.53142494895523,1173.888620379829
matmul,sycl,1024,1024,1024,1024,random,10,2.172416001558304,2.0536320209503174,0.2657936942859477,0.1647406384841989,1.8114559650421143,1001.7869204265671,1045.7317733710388,120.83644878764481,74.89520689690892,1185.501436105886
matmul,cuda,1024,1024,1024,1024,bayesian,10,0.2709440030157566,0.2645680010318756,0.02115294920239834,0.013110733747046476,0.24401599913835526,7969.045822608221,8120.3873076113405,614.2344767685327,380.7064729421074,8800.58543531153
matmul,cuda,1024,1024,1024,1024,random,10,0.2661935970187187,0.2573919966816902,0.020711448993253972,0.012837089082372445,0.24659200012683868,8108.1637214625525,8343.24434251618,583.3736183039308,361.57871469604663,8708.65091688054
matmul,sycl,2048,2048,2048,2048,bayesian,10,4.578457593917847,4.71833598613739,0.3708947488217443,0.22988294698066178,4.036607980728149,3775.162615835274,3641.2433789807174,313.66421706264146,194.41109589663367,4256.01625573286
matmul,sycl,2048,2048,2048,2048,random,10,4.656588816642762,4.70963191986084,0.22788294459893058,0.14124331238836296,4.356096029281616,3697.3588868090997,3647.8162122794256,181.57216592220763,112.53959438481995,3943.868332680722
matmul,cuda,2048,2048,2048,2048,bayesian,10,1.7734960079193116,1.7085279822349548,0.145207537193507,0.09000056398719886,1.6192800402641296,9742.81211335442,10058.43786072388,758.3008569792232,469.9997405035392,10609.57262290326
matmul,cuda,2048,2048,2048,2048,random,10,1.7877456068992614,1.7447919845581055,0.13544314798001147,0.08394853285169375,1.6582559943199158,9656.724042567896,9846.47387591239,689.1317991717208,427.12831431274543,10360.203275517668
matmul,sycl,4096,4096,4096,4096,bayesian,10,21.349529552459718,20.902143955230713,1.1788510891568433,0.7306594749255462,20.214272499084473,6453.9478590144,6575.352493698412,330.0855010226767,204.58911314258143,6799.104616712017
matmul,sycl,4096,4096,4096,4096,random,10,21.315481662750244,21.339136123657227,0.7472840562502061,0.46317145666848725,20.196864128112793,6455.0720055262855,6440.748072645505,229.07153350158336,141.98000742262363,6804.964998536254
matmul,cuda,4096,4096,4096,4096,bayesian,10,16.43006548881531,15.84176778793335,1.0382475834061844,0.6435125191909199,15.416975975036621,8394.031897763234,8676.06058853965,509.3672693536855,315.7091043928333,8914.780284703242
matmul,cuda,4096,4096,4096,4096,random,10,15.736388683319092,15.812903881072998,0.17876564089172323,0.11080009214912553,15.416095733642578,8734.853125072923,8691.569605976129,100.0122851032668,61.98825652519247,8915.289308437978
stencil,sycl,1024,1024,1024,512,bayesian,10,10.174819326400756,10.030496835708618,0.4827533640598315,0.29921363499335735,9.581178188323975,315.96771917012774,319.9064893081534,14.42223886568583,8.938996259815807,334.89147001881264
stencil,sycl,1024,1024,1024,512,random,10,10.374984216690063,10.404438257217407,0.4821247959526808,0.2988240444442625,9.736336708068848,309.86368902567654,308.40057267031136,14.245326063854707,8.82934456921425,329.5546306796142
stencil,cuda,1024,1024,1024,512,bayesian,10,5.802351999282837,5.53057599067688,0.6110726977922832,0.3787467820296026,5.227440118789673,558.1639902226178,580.1737625367363,54.62481108659302,33.856808678850015,613.8099672278811
stencil,cuda,1024,1024,1024,512,random,10,6.3300800085067745,6.373216152191162,0.6201648370227306,0.38438214830883316,5.36628794670105,511.3785397659825,503.6311838624458,51.087959100283626,31.66464510621886,597.9281916790424
stencil,sycl,2048,2048,2048,512,bayesian,10,28.6589075088501,28.610830783843994,0.6174803075540289,0.3827182597057131,27.92957305908203,448.9028030750591,449.5036679395684,9.566786341460498,5.929555606532084,460.434834603328
stencil,sycl,2048,2048,2048,512,random,10,28.426999282836913,28.49744462966919,0.22067206293329072,0.1367739616280943,28.011539459228516,452.4026370335372,451.2607724442245,3.530122226152597,2.18799242407154,459.08752607894615
stencil,cuda,2048,2048,2048,512,bayesian,10,16.312830257415772,16.39628028869629,0.5189321205538241,0.3216374605863478,15.627455711364746,789.0385464016224,784.3643924815223,25.066065628135764,15.536108435376965,822.8945638699211
stencil,cuda,2048,2048,2048,512,random,10,16.422620916366576,16.31881618499756,0.34125034092317796,0.21150915260673694,15.880992412567139,783.3530330826037,788.0378566325827,16.158738853031647,10.015290102721611,809.7572253622934
stencil,sycl,4096,4096,4096,512,bayesian,10,72.79192390441895,72.79153060913086,0.6319777853520478,0.3917038895389277,72.01004028320312,707.3966686093946,707.3527545432632,6.112094971955881,3.7883157117821376,715.0292929916643
stencil,sycl,4096,4096,4096,512,random,10,72.05972633361816,72.28279304504395,1.5666992878428831,0.9710502789968626,69.46840286254883,714.8420910023635,712.4024078951904,15.630849432395856,9.688100850026116,741.1900384967456
stencil,cuda,4096,4096,4096,512,bayesian,10,65.7938835144043,65.26016807556152,1.1282692102703158,0.6993085015855532,64.7056655883789,782.7892471782562,788.9849236453299,13.252168333635629,8.213779030568366,795.7462105334937
stencil,cuda,4096,4096,4096,512,random,10,65.65228729248047,65.31485557556152,1.0000427474389315,0.6198329165301502,64.28425598144531,784.4350723249544,788.3243589824347,11.854497104597822,7.347493427814483,800.9626526106425
