kernel,size,Config,Exec Time (ms),Speedup vs. SYCL untuned,vs. CUDA baseline,source
matmul,1024,CUDA (BO-tuned),0.2709440030157566,11.309790709947427,1.0,mean best-of-run time
matmul,1024,SYCL (untuned),3.0643199682235718,1.0,0.08841896597789903,default_baseline
matmul,1024,SYCL (Random Search),2.172416001558304,1.4105585514125716,0.12472012856718269,mean best-of-run time
matmul,1024,SYCL (BO-tuned),2.231807994842529,1.3730213241035472,0.1214011257428414,mean best-of-run time
matmul,2048,CUDA (BO-tuned),1.7734960079193116,5.6468804656758875,1.0,mean best-of-run time
matmul,2048,SYCL (untuned),10.01471996307373,1.0,0.17708892654597883,default_baseline
matmul,2048,SYCL (Random Search),4.656588816642762,2.1506558464601553,0.3808573352194623,mean best-of-run time
matmul,2048,SYCL (BO-tuned),4.578457593917847,2.1873567151473825,0.3873566526585884,mean best-of-run time
matmul,4096,CUDA (BO-tuned),16.43006548881531,3.9158027113653757,1.0,mean best-of-run time
matmul,4096,SYCL (untuned),64.33689498901367,1.0,0.25537548076606664,default_baseline
matmul,4096,SYCL (Random Search),21.315481662750244,3.0183176719597786,0.7708043265814435,mean best-of-run time
matmul,4096,SYCL (BO-tuned),21.349529552459718,3.0135041070074213,0.7695750601175365,mean best-of-run time
stencil,1024,CUDA (BO-tuned),5.802351999282837,2.4540861902456133,1.0,mean best-of-run time
stencil,1024,SYCL (untuned),14.239471912384033,1.0,0.40748365072700105,default_baseline
stencil,1024,SYCL (Random Search),10.374984216690063,1.3724813084030754,0.5592636941026561,mean best-of-run time
stencil,1024,SYCL (BO-tuned),10.174819326400756,1.3994815490665924,0.5702658507387337,mean best-of-run time
stencil,2048,CUDA (BO-tuned),16.312830257415772,2.6566609933376975,1.0,mean best-of-run time
stencil,2048,SYCL (untuned),43.33765983581543,1.0,0.3764123471183463,default_baseline
stencil,2048,SYCL (Random Search),28.426999282836913,1.5245246043954057,0.5738498845801431,mean best-of-run time
stencil,2048,SYCL (BO-tuned),28.6589075088501,1.5121881328669773,0.5692062843769686,mean best-of-run time
stencil,4096,CUDA (BO-tuned),65.7938835144043,1.4210675213279664,1.0,mean best-of-run time
stencil,4096,SYCL (untuned),93.49755096435547,1.0,0.7036963303935867,default_baseline
stencil,4096,SYCL (Random Search),72.05972633361816,1.2975007777782233,0.9130465360053602,mean best-of-run time
stencil,4096,SYCL (BO-tuned),72.79192390441895,1.284449509634125,0.9038624065053757,mean best-of-run time
